mos_corner,temp_c,vdd_v,iref_a,state,vout_v,icp_a
mos_tt,27,3.3,2.5u,up,1.6500,2.500258e-06
mos_tt,27,3.3,2.5u,dn,1.6500,-2.508545e-06
mos_tt,27,3.3,2.5u,both,1.6500,-8.287036e-09
mos_tt,27,3.3,5u,up,1.6500,5.000325e-06
mos_tt,27,3.3,5u,dn,1.6500,-5.012047e-06
mos_tt,27,3.3,5u,both,1.6500,-1.172204e-08
mos_tt,27,3.3,10u,up,1.6500,1.000047e-05
mos_tt,27,3.3,10u,dn,1.6500,-1.001753e-05
mos_tt,27,3.3,10u,both,1.6500,-1.705763e-08
mos_tt,27,3.3,20u,up,1.6500,2.000082e-05
mos_tt,27,3.3,20u,dn,1.6500,-2.002622e-05
mos_tt,27,3.3,20u,both,1.6500,-2.540491e-08
mos_tt,27,3.3,40u,up,1.6500,4.000269e-05
mos_tt,27,3.3,40u,dn,1.6500,-4.004874e-05
mos_tt,27,3.3,40u,both,1.6500,-4.604798e-08
mos_tt,27,3.3,80u,up,1.6500,8.004954e-05
mos_tt,27,3.3,80u,dn,1.6500,-8.023154e-05
mos_tt,27,3.3,80u,both,1.6500,-1.819514e-07
mos_tt,125,3.3,2.5u,up,1.6500,2.500495e-06
mos_tt,125,3.3,2.5u,dn,1.6500,-2.508103e-06
mos_tt,125,3.3,2.5u,both,1.6500,-7.696002e-09
mos_tt,125,3.3,5u,up,1.6500,5.000580e-06
mos_tt,125,3.3,5u,dn,1.6500,-5.011066e-06
mos_tt,125,3.3,5u,both,1.6500,-1.056484e-08
mos_tt,125,3.3,10u,up,1.6500,1.000086e-05
mos_tt,125,3.3,10u,dn,1.6500,-1.001686e-05
mos_tt,125,3.3,10u,both,1.6500,-1.606370e-08
mos_tt,125,3.3,20u,up,1.6500,2.000257e-05
mos_tt,125,3.3,20u,dn,1.6500,-2.003348e-05
mos_tt,125,3.3,20u,both,1.6500,-3.095501e-08
mos_tt,125,3.3,40u,up,1.6500,4.002768e-05
mos_tt,125,3.3,40u,dn,1.6500,-4.014968e-05
mos_tt,125,3.3,40u,both,1.6500,-1.220352e-07
mos_tt,125,3.3,80u,up,1.6500,8.019460e-05
mos_tt,125,3.3,80u,dn,1.6500,-8.083590e-05
mos_tt,125,3.3,80u,both,1.6500,-6.395058e-07
mos_tt,-40,3.3,2.5u,up,1.6500,2.500211e-06
mos_tt,-40,3.3,2.5u,dn,1.6500,-2.509044e-06
mos_tt,-40,3.3,2.5u,both,1.6500,-8.833379e-09
mos_tt,-40,3.3,5u,up,1.6500,5.000282e-06
mos_tt,-40,3.3,5u,dn,1.6500,-5.013252e-06
mos_tt,-40,3.3,5u,both,1.6500,-1.296956e-08
mos_tt,-40,3.3,10u,up,1.6500,1.000041e-05
mos_tt,-40,3.3,10u,dn,1.6500,-1.001923e-05
mos_tt,-40,3.3,10u,both,1.6500,-1.881286e-08
mos_tt,-40,3.3,20u,up,1.6500,2.000067e-05
mos_tt,-40,3.3,20u,dn,1.6500,-2.002730e-05
mos_tt,-40,3.3,20u,both,1.6500,-2.663288e-08
mos_tt,-40,3.3,40u,up,1.6500,4.000135e-05
mos_tt,-40,3.3,40u,dn,1.6500,-4.003989e-05
mos_tt,-40,3.3,40u,both,1.6500,-3.853970e-08
mos_tt,-40,3.3,80u,up,1.6500,8.001010e-05
mos_tt,-40,3.3,80u,dn,1.6500,-8.008578e-05
mos_tt,-40,3.3,80u,both,1.6500,-7.566686e-08
mos_ss,27,3.3,2.5u,up,1.6500,2.500239e-06
mos_ss,27,3.3,2.5u,dn,1.6500,-2.507873e-06
mos_ss,27,3.3,2.5u,both,1.6500,-7.634065e-09
mos_ss,27,3.3,5u,up,1.6500,5.000297e-06
mos_ss,27,3.3,5u,dn,1.6500,-5.011020e-06
mos_ss,27,3.3,5u,both,1.6500,-1.072272e-08
mos_ss,27,3.3,10u,up,1.6500,1.000042e-05
mos_ss,27,3.3,10u,dn,1.6500,-1.001586e-05
mos_ss,27,3.3,10u,both,1.6500,-1.543545e-08
mos_ss,27,3.3,20u,up,1.6500,2.000070e-05
mos_ss,27,3.3,20u,dn,1.6500,-2.002327e-05
mos_ss,27,3.3,20u,both,1.6500,-2.256901e-08
mos_ss,27,3.3,40u,up,1.6500,4.000192e-05
mos_ss,27,3.3,40u,dn,1.6500,-4.004115e-05
mos_ss,27,3.3,40u,both,1.6500,-3.923354e-08
mos_ss,27,3.3,80u,up,1.6500,8.003242e-05
mos_ss,27,3.3,80u,dn,1.6500,-8.019040e-05
mos_ss,27,3.3,80u,both,1.6500,-1.576992e-07
mos_ss,125,3.3,2.5u,up,1.6500,2.500449e-06
mos_ss,125,3.3,2.5u,dn,1.6500,-2.507490e-06
mos_ss,125,3.3,2.5u,both,1.6500,-7.076915e-09
mos_ss,125,3.3,5u,up,1.6500,5.000514e-06
mos_ss,125,3.3,5u,dn,1.6500,-5.010103e-06
mos_ss,125,3.3,5u,both,1.6500,-9.621858e-09
mos_ss,125,3.3,10u,up,1.6500,1.000072e-05
mos_ss,125,3.3,10u,dn,1.6500,-1.001503e-05
mos_ss,125,3.3,10u,both,1.6500,-1.434417e-08
mos_ss,125,3.3,20u,up,1.6500,2.000171e-05
mos_ss,125,3.3,20u,dn,1.6500,-2.002793e-05
mos_ss,125,3.3,20u,both,1.6500,-2.624786e-08
mos_ss,125,3.3,40u,up,1.6500,4.001697e-05
mos_ss,125,3.3,40u,dn,1.6500,-4.011841e-05
mos_ss,125,3.3,40u,both,1.6500,-1.014671e-07
mos_ss,125,3.3,80u,up,1.6500,8.015178e-05
mos_ss,125,3.3,80u,dn,1.6500,-8.074162e-05
mos_ss,125,3.3,80u,both,1.6500,-5.873730e-07
mos_ss,-40,3.3,2.5u,up,1.6500,2.500195e-06
mos_ss,-40,3.3,2.5u,dn,1.6500,-2.508330e-06
mos_ss,-40,3.3,2.5u,both,1.6500,-8.134069e-09
mos_ss,-40,3.3,5u,up,1.6500,5.000258e-06
mos_ss,-40,3.3,5u,dn,1.6500,-5.012111e-06
mos_ss,-40,3.3,5u,both,1.6500,-1.185292e-08
