mos_corner,temp_c,vdd_v,iref_a,state,vout_v,icp_a
mos_tt,27,3.3,10u,up,0.1500,9.930223e-06
mos_tt,27,3.3,10u,up,0.2000,9.924877e-06
mos_tt,27,3.3,10u,up,0.2500,9.920202e-06
mos_tt,27,3.3,10u,up,0.3000,9.915110e-06
mos_tt,27,3.3,10u,up,0.3500,9.909827e-06
mos_tt,27,3.3,10u,up,0.4000,9.904387e-06
mos_tt,27,3.3,10u,up,0.4500,9.899117e-06
mos_tt,27,3.3,10u,up,0.5000,9.895428e-06
mos_tt,27,3.3,10u,up,0.5500,9.897550e-06
mos_tt,27,3.3,10u,up,0.6000,9.911118e-06
mos_tt,27,3.3,10u,up,0.6500,9.934535e-06
mos_tt,27,3.3,10u,up,0.7000,9.959312e-06
mos_tt,27,3.3,10u,up,0.7500,9.978702e-06
mos_tt,27,3.3,10u,up,0.8000,9.990673e-06
mos_tt,27,3.3,10u,up,0.8500,9.996721e-06
mos_tt,27,3.3,10u,up,0.9000,9.999261e-06
mos_tt,27,3.3,10u,up,0.9500,1.000018e-05
mos_tt,27,3.3,10u,up,1.0000,1.000049e-05
mos_tt,27,3.3,10u,up,1.0500,1.000059e-05
mos_tt,27,3.3,10u,up,1.1000,1.000061e-05
mos_tt,27,3.3,10u,up,1.1500,1.000062e-05
mos_tt,27,3.3,10u,up,1.2000,1.000062e-05
mos_tt,27,3.3,10u,up,1.2500,1.000061e-05
mos_tt,27,3.3,10u,up,1.3000,1.000060e-05
mos_tt,27,3.3,10u,up,1.3500,1.000058e-05
mos_tt,27,3.3,10u,up,1.4000,1.000057e-05
mos_tt,27,3.3,10u,up,1.4500,1.000055e-05
mos_tt,27,3.3,10u,up,1.5000,1.000053e-05
mos_tt,27,3.3,10u,up,1.5500,1.000051e-05
mos_tt,27,3.3,10u,up,1.6000,1.000049e-05
mos_tt,27,3.3,10u,up,1.6500,1.000047e-05
mos_tt,27,3.3,10u,up,1.7000,1.000045e-05
mos_tt,27,3.3,10u,up,1.7500,1.000043e-05
mos_tt,27,3.3,10u,up,1.8000,1.000041e-05
mos_tt,27,3.3,10u,up,1.8500,1.000038e-05
mos_tt,27,3.3,10u,up,1.9000,1.000036e-05
mos_tt,27,3.3,10u,up,1.9500,1.000034e-05
mos_tt,27,3.3,10u,up,2.0000,1.000031e-05
mos_tt,27,3.3,10u,up,2.0500,1.000029e-05
mos_tt,27,3.3,10u,up,2.1000,1.000026e-05
mos_tt,27,3.3,10u,up,2.1500,1.000024e-05
mos_tt,27,3.3,10u,up,2.2000,1.000021e-05
mos_tt,27,3.3,10u,up,2.2500,1.000018e-05
mos_tt,27,3.3,10u,up,2.3000,1.000015e-05
mos_tt,27,3.3,10u,up,2.3500,1.000012e-05
mos_tt,27,3.3,10u,up,2.4000,1.000008e-05
mos_tt,27,3.3,10u,up,2.4500,1.000005e-05
mos_tt,27,3.3,10u,up,2.5000,1.000001e-05
mos_tt,27,3.3,10u,up,2.5500,9.999960e-06
mos_tt,27,3.3,10u,up,2.6000,9.999904e-06
mos_tt,27,3.3,10u,up,2.6500,9.999833e-06
mos_tt,27,3.3,10u,up,2.7000,9.999732e-06
mos_tt,27,3.3,10u,up,2.7500,9.999561e-06
mos_tt,27,3.3,10u,up,2.8000,9.999184e-06
mos_tt,27,3.3,10u,up,2.8500,9.998046e-06
mos_tt,27,3.3,10u,up,2.9000,9.990859e-06
mos_tt,27,3.3,10u,up,2.9500,9.976015e-06
mos_tt,27,3.3,10u,up,3.0000,9.947043e-06
mos_tt,27,3.3,10u,up,3.0500,9.888273e-06
mos_tt,27,3.3,10u,up,3.1000,9.742867e-06
mos_tt,27,3.3,10u,up,3.1500,9.289050e-06
mos_tt,27,3.3,10u,dn,0.1500,-8.758707e-06
mos_tt,27,3.3,10u,dn,0.2000,-9.365377e-06
mos_tt,27,3.3,10u,dn,0.2500,-9.651813e-06
mos_tt,27,3.3,10u,dn,0.3000,-9.809964e-06
mos_tt,27,3.3,10u,dn,0.3500,-9.903355e-06
mos_tt,27,3.3,10u,dn,0.4000,-9.953814e-06
mos_tt,27,3.3,10u,dn,0.4500,-9.976476e-06
mos_tt,27,3.3,10u,dn,0.5000,-9.986078e-06
mos_tt,27,3.3,10u,dn,0.5500,-9.990850e-06
mos_tt,27,3.3,10u,dn,0.6000,-9.994461e-06
mos_tt,27,3.3,10u,dn,0.6500,-9.996332e-06
mos_tt,27,3.3,10u,dn,0.7000,-9.998013e-06
mos_tt,27,3.3,10u,dn,0.7500,-9.999526e-06
mos_tt,27,3.3,10u,dn,0.8000,-1.000091e-05
mos_tt,27,3.3,10u,dn,0.8500,-1.000220e-05
mos_tt,27,3.3,10u,dn,0.9000,-1.000341e-05
mos_tt,27,3.3,10u,dn,0.9500,-1.000456e-05
mos_tt,27,3.3,10u,dn,1.0000,-1.000566e-05
mos_tt,27,3.3,10u,dn,1.0500,-1.000672e-05
mos_tt,27,3.3,10u,dn,1.1000,-1.000774e-05
mos_tt,27,3.3,10u,dn,1.1500,-1.000873e-05
mos_tt,27,3.3,10u,dn,1.2000,-1.000969e-05
mos_tt,27,3.3,10u,dn,1.2500,-1.001063e-05
mos_tt,27,3.3,10u,dn,1.3000,-1.001155e-05
mos_tt,27,3.3,10u,dn,1.3500,-1.001245e-05
mos_tt,27,3.3,10u,dn,1.4000,-1.001333e-05
mos_tt,27,3.3,10u,dn,1.4500,-1.001420e-05
mos_tt,27,3.3,10u,dn,1.5000,-1.001505e-05
mos_tt,27,3.3,10u,dn,1.5500,-1.001589e-05
mos_tt,27,3.3,10u,dn,1.6000,-1.001671e-05
mos_tt,27,3.3,10u,dn,1.6500,-1.001753e-05
mos_tt,27,3.3,10u,dn,1.7000,-1.001833e-05
mos_tt,27,3.3,10u,dn,1.7500,-1.001913e-05
mos_tt,27,3.3,10u,dn,1.8000,-1.001992e-05
mos_tt,27,3.3,10u,dn,1.8500,-1.002070e-05
mos_tt,27,3.3,10u,dn,1.9000,-1.002148e-05
mos_tt,27,3.3,10u,dn,1.9500,-1.002225e-05
mos_tt,27,3.3,10u,dn,2.0000,-1.002303e-05
mos_tt,27,3.3,10u,dn,2.0500,-1.002380e-05
mos_tt,27,3.3,10u,dn,2.1000,-1.002459e-05
mos_tt,27,3.3,10u,dn,2.1500,-1.002539e-05
mos_tt,27,3.3,10u,dn,2.2000,-1.002622e-05
mos_tt,27,3.3,10u,dn,2.2500,-1.002707e-05
mos_tt,27,3.3,10u,dn,2.3000,-1.002796e-05
mos_tt,27,3.3,10u,dn,2.3500,-1.002891e-05
mos_tt,27,3.3,10u,dn,2.4000,-1.002994e-05
mos_tt,27,3.3,10u,dn,2.4500,-1.003104e-05
mos_tt,27,3.3,10u,dn,2.5000,-1.003226e-05
mos_tt,27,3.3,10u,dn,2.5500,-1.003361e-05
mos_tt,27,3.3,10u,dn,2.6000,-1.003512e-05
mos_tt,27,3.3,10u,dn,2.6500,-1.003682e-05
mos_tt,27,3.3,10u,dn,2.7000,-1.003874e-05
mos_tt,27,3.3,10u,dn,2.7500,-1.004090e-05
mos_tt,27,3.3,10u,dn,2.8000,-1.004335e-05
mos_tt,27,3.3,10u,dn,2.8500,-1.004608e-05
mos_tt,27,3.3,10u,dn,2.9000,-1.004912e-05
mos_tt,27,3.3,10u,dn,2.9500,-1.005239e-05
mos_tt,27,3.3,10u,dn,3.0000,-1.005557e-05
mos_tt,27,3.3,10u,dn,3.0500,-1.005817e-05
mos_tt,27,3.3,10u,dn,3.1000,-1.005980e-05
mos_tt,27,3.3,10u,dn,3.1500,-1.006070e-05
mos_tt,27,3.3,10u,both,0.1500,1.142924e-06
mos_tt,27,3.3,10u,both,0.2000,5.548352e-07
mos_tt,27,3.3,10u,both,0.2500,2.687575e-07
mos_tt,27,3.3,10u,both,0.3000,1.068429e-07
mos_tt,27,3.3,10u,both,0.3500,8.665045e-09
mos_tt,27,3.3,10u,both,0.4000,-4.682979e-08
