tag,variant,mos_corner,temp_c,vdd_v,fin_hz,p_word,n_nominal,reltol,ck1_max,ck1_min,ck2_max,ck2_min,ck3_max,ck3_min,ck4_max,ck4_min,ck5_max,ck5_min,dvo_max,dvo_min,fb_max,fb_min,tdiv_a_s,tdiv_b_s,tck_a_s,tck_b_s,idd_a
baseline,repaired,mos_tt,27,3.3,1.000000e+08,000000,64,0.001,3.35633e+00,-3.94779e-02,3.35697e+00,-3.65241e-02,3.35755e+00,-3.79401e-02,3.35660e+00,-3.69907e-02,3.35646e+00,-3.71396e-02,3.38280e+00,-9.01653e-02,3.39637e+00,-7.66895e-02,6.53560e-07,1.29356e-06,2.00300e-08,3.00300e-08,-2.27600e-04
baseline,repaired,mos_ss,27,3.3,1.000000e+08,000000,64,0.001,3.36093e+00,-3.75635e-02,3.35672e+00,-3.72541e-02,3.36141e+00,-3.45907e-02,3.35226e+00,-3.53086e-02,3.35235e+00,-3.76612e-02,3.38163e+00,-8.63069e-02,3.40396e+00,-8.35469e-02,6.54001e-07,1.29400e-06,2.00300e-08,3.00300e-08,-2.18878e-04
baseline,repaired,mos_ff,27,3.3,1.000000e+08,000000,64,0.001,3.35276e+00,-3.26774e-02,3.35241e+00,-3.96702e-02,3.35295e+00,-3.91108e-02,3.35251e+00,-3.91130e-02,3.35304e+00,-3.82478e-02,3.38405e+00,-9.05091e-02,3.38689e+00,-6.78520e-02,6.53234e-07,1.29323e-06,2.00300e-08,3.00300e-08,-2.37713e-04
code,repaired,mos_tt,27,3.3,1.000000e+08,000001,65,0.001,3.35596e+00,-3.96353e-02,3.35676e+00,-3.46597e-02,3.35715e+00,-3.79436e-02,3.35757e+00,-3.69801e-02,3.35742e+00,-3.35128e-02,3.38279e+00,-9.01653e-02,3.39636e+00,-7.66970e-02,6.63561e-07,1.31356e-06,2.00300e-08,3.00300e-08,-2.25309e-04
code,repaired,mos_tt,27,3.3,1.000000e+08,100000,96,0.001,3.35620e+00,-3.94783e-02,3.35677e+00,-3.65072e-02,3.35717e+00,-3.79401e-02,3.35757e+00,-3.77519e-02,3.35743e+00,-3.71338e-02,3.38280e+00,-8.97390e-02,3.39634e+00,-7.67200e-02,9.73555e-07,1.93355e-06,2.00300e-08,3.00300e-08,-2.24140e-04
code,repaired,mos_tt,27,3.3,1.000000e+08,111111,127,0.001,3.35620e+00,-3.96322e-02,3.35677e+00,-3.46644e-02,3.35715e+00,-3.79403e-02,3.35758e+00,-3.69673e-02,3.35743e+00,-3.60828e-02,3.38280e+00,-8.97390e-02,3.39634e+00,-7.67201e-02,1.28355e-06,2.55355e-06,2.00300e-08,3.00300e-08,-2.18613e-04
